,MEDICINES  LIST   7-6-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ANTI DIABETIC - A (1-10),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DATE,STOCK FOR JUNE,COST,TOTAL STOCK,,,,,,,,
,1,TAB  GLIMIMORE 2 MG,Aug-26,3335,,0,,,,,,,,
,,Glimipiride 2 mg,,,,,,,,,,,,
,2,TAB   GM CARE,Jun-27,2260,,5000,,,,,,,,
,, Metformin   500mg ,,,,,,,,,,,,
,3,TAB METFORD 250 MG ,Jan-27,2475,,1410,,,,,,,,
,,Metformin    250mg,,,,,,,,,,,,
,4,TAB –  ORGLIMP M / GLIMISIL M1,Mar-27,4400,,4200,,,,,,,,
,,Glimepiride 1mg +  Metformin 500mg SR,,,,,,,,,,,,
,5,TAB – GLIMSIZ M2  /  GLIMISIL M2,Jul-27,8850,,9000,,,,,,,,
,,Glimepiride 2mg +  Metformin 500mg ER,,,,,,,,,,,,
,6,TAB  JANUGLIP 20,Jan-27,1750,,2800,,,,,,,,
,, Teneligliptin 20 mg,,,,,,,,,,,,
,7,TAB –   GIGAHEM M / GLICLEAN 80,Mar-27,3475,,2200,,,,,,,,
,,Gliclazide 80mg +  Metformin HCI 500mg ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ANTI HYPERTENSIVE  - B (11-25),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,COST,TOTAL STOCK,,,,,,,,
,11,TAB RAMWISE 2.5 / RAMIRACE 2.5,Nov-26,1045,,0,,,,,,,,
,,Rampril 2. 5mg,,,,,,,,,,,,
,12,TAB RAMIRACE 5,Jan-27,880,,0,,,,,,,,
,,Rampril 5mg,,,,,,,,,,,,
,13,TAB- AMLOBID / AMLOPEN AT,Apr-27,1985,,8200,,,,,,,,
,,Amlodipine 5mg+ Atenolol 50mg ,,,,,,,,,,,,
,14,TAB  TELGO 20 ,May-27,1650,,2500,,,,,,,,
,,Telmisartan 20 mg,,,,,,,,,,,,
,15,TAB  DURATELMI  40,Apr-27,3520,,0,,,,,,,,
,, Telmisartan 40 mg,,,,,,,,,,,,
,16,TAB   DURATELMI H,May-27,5400,,7000,,,,,,,,
,, TELMISARTAN 40mg + HYDROCHLORTHIAZIDE 12.5mg ,,,,,,,,,,,,
